dappNAme,category,users,Platform,Devact,Volume7d,github,status,Date,license
The Burn Token,Finance,3,Ethereum,2,395,https://github.com/burntoken/BURN?utm_source=StateOfTheDApps,Live,"Jun 24th, 2019",MIT
Compound,Finance,4,Ethereum,37,0,https://github.com/compound-finance?utm_source=StateOfTheDApps,Live,"Aug 27th, 2018",Unknown license
DEX.top,Exchanges,1,Ethereum,3,2414,https://github.com/dexDev/DEx.top?utm_source=StateOfTheDApps,Live,"Aug 9th, 2018",Unknown license
Tasteem,Social,52,Steem,0,0,null,Beta,"Dec 16th, 2018",Unknown license
Dock,Identity,5,Ethereum,625,0,https://github.com/getdock?utm_source=StateOfTheDApps,Live,"Dec 21st, 2018",Unknown license
Kovrita Stablecoins,Exchanges,4,Ethereum,0,3,null,Live,"Jul 26th, 2019","Towards OpenSource/MIT, but work in progress"
InXight,Social,0,Ethereum,0,0,https://github.com/Scanetchain/Scanetchain-ERC20-Token?utm_source=StateOfTheDApps,Live,"May 20th, 2019",Unknown license
WhaleEx,Exchanges,335,EOS,0,645094,null,Live,"Dec 21st, 2018",Unknown license
0xcert,Identity,1,Ethereum,140,0,https://github.com/0xcert/framework?utm_source=StateOfTheDApps,Live,"Dec 21st, 2018",MIT
To the Moon EOS,Games,51,EOS,0,97,https://github.com/tothemoongame?utm_source=StateOfTheDApps,Live,"Jun 23rd, 2019",Unknown license
steem-bounty,Social,0,Steem,0,25,null,Live,"Dec 29th, 2018",Proprietary
Wherein,Social,21,Steem,0,17,null,Live,"Jan 4th, 2019",Proprietary
BitStash Marketplace,Marketplaces,0,Ethereum,0,1651,https://github.com/bitstashco?utm_source=StateOfTheDApps,Live,"Jul 24th, 2019",Proprietary
Crypterium,Finance,243,Ethereum,0,0,null,Live,"Dec 21st, 2018",Unknown license
Betoken,Finance,8,Ethereum,1,96,https://github.com/Betoken/betoken?utm_source=StateOfTheDApps,Live,"Dec 27th, 2017",GNU v3
Chintai,Finance,12,EOS,0,0,https://github.com/eos42/Chintai-issues?utm_source=StateOfTheDApps,Live,"Oct 21st, 2018",Unknown license
xDai-DAI bridge,Finance,9,xDai,3,195,https://github.com/poanetwork/token-bridge?utm_source=StateOfTheDApps,Live,"Feb 22nd, 2019",GPL
TravelFeed,Media,5,Steem,291,0,https://github.com/travelfeed-io?utm_source=StateOfTheDApps,Beta,"Jul 4th, 2019",open source
Token BulkSender,Finance,7,Ethereum,2,879,https://github.com/howeguo/Token-multisender?utm_source=StateOfTheDApps,Live,"Aug 24th, 2018",GPL3
WordProof Timestamp,Media,4,EOS,111,0,https://github.com/wordproof?utm_source=StateOfTheDApps,Live,"Jun 20th, 2019",GPL
ETH Bank Pro,Finance,2,Ethereum,0,62979,null,Live,"Jul 4th, 2019",MIT
Bloom,Finance,7,Ethereum,135,0,https://github.com/hellobloom?utm_source=StateOfTheDApps,Live,"Sep 9th, 2017","MIT, GPL-3.0"
BITNATION,Governance,3,Ethereum,10,0,https://github.com/Bit-Nation?utm_source=StateOfTheDApps,Live,"Mar 11th, 2016",MIT
POA Bridge,Finance,10,POA,0,4222,https://github.com/poanetwork/poa-bridge?utm_source=StateOfTheDApps,Live,"Aug 22nd, 2018",Unknown license
Maecenas,Media,7,Ethereum,0,0,https://github.com/MaecenasArt?utm_source=StateOfTheDApps,Beta,"Aug 28th, 2017",Unknown license
EOS Tower Game,Games,31,EOS,0,43,null,Live,"Jan 31st, 2019",N/A
